asset,model,IC_mean,IC_std,IC_t_stat,IC_p_value,IC_significant,RMSE_mean,hit_rate_mean,n_folds,time_seconds
BOND,ridge,0.1846789574062302,0.3361848256564052,,,False,0.1164468473238802,0.7159090909090909,22,41.05337595939636
BOND,lasso,,,,,False,0.1052499334911781,0.6780303030303029,22,41.25705766677856
BOND,elastic_net,,,,,False,0.1052499334911781,0.6780303030303029,22,40.69915390014648
BOND,random_forest,0.222822631913541,0.3973015883080473,,,False,0.0815502717207661,0.7651515151515152,22,87.54989719390869
BOND,xgboost,0.2905276541640179,0.3969905734406561,,,False,0.0773715012628741,0.7765151515151515,22,58.094844818115234
BOND,lightgbm,0.3165924984106802,0.3356655396923059,,,False,0.0813102876352943,0.7803030303030304,22,46.78199505805969
BOND,mlp,-0.0600762873490146,0.3036173196859985,,,False,0.1903076793747679,0.5378787878787877,22,41.919743061065674
BOND,lstm,0.2043865225683407,0.3849327236081408,,,False,0.103794917263671,0.5265151515151515,22,69.05771994590759
BOND,Ensemble_Top5,0.5227812844102503,,,,False,0.0968236965231119,0.7623639960435212,22,0.0
GOLD,ridge,0.125462772521596,0.3627847397836173,,,False,0.2561377426569682,0.6470588235294118,17,29.72482395172119
GOLD,lasso,,,,,False,0.1586047547024799,0.877450980392157,17,29.584074020385746
GOLD,elastic_net,,,,,False,0.1586047547024799,0.877450980392157,17,30.036212921142575
GOLD,random_forest,0.2612093788564377,0.5349156497234747,,,False,0.1491497360667013,0.7401960784313725,17,60.148234128952026
GOLD,xgboost,0.3006993006993007,0.4108371915896686,,,False,0.1326186604179837,0.7401960784313726,17,43.06711673736572
GOLD,lightgbm,0.2780748663101605,0.4226034618144451,,,False,0.1310673124832241,0.75,17,34.066710233688354
GOLD,mlp,0.0867955573837926,0.2928731874340949,,,False,0.2422623510832577,0.6617647058823529,17,30.979705810546875
GOLD,lstm,0.0756890168654874,0.4412753664928577,,,False,0.1722237159606171,0.715686274509804,17,49.90055298805237
GOLD,Ensemble_Top5,0.6415070328336224,,,,False,0.1441274611635918,0.7363813229571985,17,0.0
SPX,ridge,0.2010365577933146,0.3879050591676194,2.0114842152822896,0.29688020172310325,False,0.3949482060186733,0.5608108108108109,37,75.83353114128113
SPX,lasso,0.0,0.0,,,False,0.19272010235349785,0.888138138138138,37,74.1474928855896
SPX,elastic_net,0.0,0.0,,,False,0.19272010235349785,0.888138138138138,37,74.43348288536072
SPX,random_forest,0.3457302862708268,0.34812810207485445,2.7700655134082695,0.25739705821981956,False,0.18175306599774996,0.8460960960960959,37,168.29773712158203
SPX,xgboost,0.3047549479981913,0.39723923150969404,2.593817205955859,0.2863694114364007,False,0.17416610634605675,0.8963963963963963,37,110.63978290557861
SPX,lightgbm,0.26818324115621417,0.4024417880463871,3.3210602833663163,0.2751018992125445,False,0.18148552493416392,0.8663663663663664,37,84.79138088226318
SPX,mlp,-0.0012452607047201579,0.2461142841628536,-0.1193017822116887,0.3405856803579088,False,0.35282469929245464,0.5180180180180181,37,73.06236410140991
SPX,lstm,0.005120178093151071,0.3995572787878805,-2.3609092802110614,0.3296643404909121,False,0.22624332379966008,0.8318318318318317,37,132.8711588382721
SPX,Ensemble_Top5,0.3949329255715252,,,,False,0.1985347187987641,0.8909553894593595,37,0.0
